cover_image_name,k,t,metric,value
n02,2,65536,mse,0.238
n02,2,65536,psnr,54.36
n02,2,131072,mse,0.4768
n02,2,131072,psnr,51.35
n02,2,262144,mse,0.9629
n02,2,262144,psnr,48.3
t01,1,100,mse,0.0001581
t01,1,100,psnr,86.14
t01,1,370000,mse,0.5167
t01,1,370000,psnr,51.0
t01,2,100,mse,0.0004484
t01,2,100,psnr,81.61
t01,2,370000,mse,1.53
t01,2,370000,psnr,46.28
t01,3,100,mse,0.001709
t01,3,100,psnr,75.8
t01,3,370000,mse,5.498
t01,3,370000,psnr,40.73
t01,4,100,mse,0.006259
t01,4,100,psnr,70.17
t01,4,370000,mse,19.72
t01,4,370000,psnr,35.18
t01,5,100,mse,0.02015
t01,5,100,psnr,65.09
t01,5,370000,mse,69.63
t01,5,370000,psnr,29.7
t01,6,100,mse,0.06446
t01,6,100,psnr,60.04
t01,6,370000,mse,231.4
t01,6,370000,psnr,24.49
t01,7,100,mse,0.262
t01,7,100,psnr,53.95
t01,7,370000,mse,844.8
t01,7,370000,psnr,18.86
t01,8,100,mse,0.9067
t01,8,100,psnr,48.56
t01,8,370000,mse,3394.0
t01,8,370000,psnr,12.82
t01,1,16,mse,3.076e-05
t01,1,16,psnr,93.25
t01,1,32,mse,5.523e-05
t01,1,32,psnr,90.71
t01,1,64,mse,0.0001002
t01,1,64,psnr,88.12
t01,1,128,mse,0.0001978
t01,1,128,psnr,85.17
t01,1,256,mse,0.000382
t01,1,256,psnr,82.31
t01,1,512,mse,0.0007259
t01,1,512,psnr,79.52
t01,1,1024,mse,0.001434
t01,1,1024,psnr,76.57
t01,1,2048,mse,0.002916
t01,1,2048,psnr,73.48
t01,1,4096,mse,0.005743
t01,1,4096,psnr,70.54
t01,1,8192,mse,0.01141
t01,1,8192,psnr,67.56
t01,1,16384,mse,0.02315
t01,1,16384,psnr,64.49
t01,1,32768,mse,0.0471
t01,1,32768,psnr,61.4
t01,1,65536,mse,0.0942
t01,1,65536,psnr,58.39
t01,1,131072,mse,0.1844
t01,1,131072,psnr,55.47
t01,1,262144,mse,0.365
t01,1,262144,psnr,52.51
t01,2,16,mse,0.0001038
t01,2,16,psnr,87.97
t01,2,32,mse,0.0001759
t01,2,32,psnr,85.68
t01,2,64,mse,0.0003178
t01,2,64,psnr,83.11
t01,2,128,mse,0.000542
t01,2,128,psnr,80.79
t01,2,256,mse,0.001102
t01,2,256,psnr,77.71
t01,2,512,mse,0.002057
t01,2,512,psnr,75.0
t01,2,1024,mse,0.004015
t01,2,1024,psnr,72.09
t01,2,2048,mse,0.008633
t01,2,2048,psnr,68.77
t01,2,4096,mse,0.01686
t01,2,4096,psnr,65.86
t01,2,8192,mse,0.03368
t01,2,8192,psnr,62.86
t01,2,16384,mse,0.06551
t01,2,16384,psnr,59.97
t01,2,32768,mse,0.1419
t01,2,32768,psnr,56.61
t01,2,65536,mse,0.2973
t01,2,65536,psnr,53.4
t01,2,131072,mse,0.5943
t01,2,131072,psnr,50.39
t01,2,262144,mse,1.113
t01,2,262144,psnr,47.67
t02,1,100,mse,0.0001813
t02,1,100,psnr,85.55
t02,1,370000,mse,0.5461
t02,1,370000,psnr,50.76
t02,2,100,mse,0.0006616
t02,2,100,psnr,79.92
t02,2,370000,mse,1.774
t02,2,370000,psnr,45.64
t02,3,100,mse,0.002343
t02,3,100,psnr,74.43
t02,3,370000,mse,6.293
t02,3,370000,psnr,40.14
t02,4,100,mse,0.00842
t02,4,100,psnr,68.88
t02,4,370000,mse,20.87
t02,4,370000,psnr,34.94
t02,5,100,mse,0.02636
t02,5,100,psnr,63.92
t02,5,370000,mse,70.98
t02,5,370000,psnr,29.62
t02,6,100,mse,0.08888
t02,6,100,psnr,58.64
t02,6,370000,mse,234.4
t02,6,370000,psnr,24.43
t02,7,100,mse,0.323
t02,7,100,psnr,53.04
t02,7,370000,mse,849.3
t02,7,370000,psnr,18.84
t02,8,100,mse,1.124
t02,8,100,psnr,47.62
t02,8,370000,mse,3405.0
t02,8,370000,psnr,12.81
t02,1,16,mse,3.936e-05
t02,1,16,psnr,92.18
t02,1,32,mse,6.98e-05
t02,1,32,psnr,89.69
t02,1,64,mse,0.0001254
t02,1,64,psnr,87.15
t02,1,128,mse,0.0002226
t02,1,128,psnr,84.66
t02,1,256,mse,0.0004069
t02,1,256,psnr,82.04
t02,1,512,mse,0.0007707
t02,1,512,psnr,79.26
t02,1,1024,mse,0.001523
t02,1,1024,psnr,76.3
t02,1,2048,mse,0.00327
t02,1,2048,psnr,72.99
t02,1,4096,mse,0.006318
t02,1,4096,psnr,70.12
t02,1,8192,mse,0.01243
t02,1,8192,psnr,67.19
t02,1,16384,mse,0.0244
t02,1,16384,psnr,64.26
t02,1,32768,mse,0.04879
t02,1,32768,psnr,61.25
t02,1,65536,mse,0.09732
t02,1,65536,psnr,58.25
t02,1,131072,mse,0.1941
t02,1,131072,psnr,55.25
t02,1,262144,mse,0.3876
t02,1,262144,psnr,52.25
t02,2,16,mse,0.0001538
t02,2,16,psnr,86.26
t02,2,32,mse,0.0002643
t02,2,32,psnr,83.91
t02,2,64,mse,0.000475
t02,2,64,psnr,81.36
t02,2,128,mse,0.0007999
t02,2,128,psnr,79.1
t02,2,256,mse,0.001414
t02,2,256,psnr,76.63
t02,2,512,mse,0.002619
t02,2,512,psnr,73.95
t02,2,1024,mse,0.005133
t02,2,1024,psnr,71.03
t02,2,2048,mse,0.01116
t02,2,2048,psnr,67.66
t02,2,4096,mse,0.02143
t02,2,4096,psnr,64.82
t02,2,8192,mse,0.04217
t02,2,8192,psnr,61.88
t02,2,16384,mse,0.08303
t02,2,16384,psnr,58.94
t02,2,32768,mse,0.1586
t02,2,32768,psnr,56.13
t02,2,65536,mse,0.3141
t02,2,65536,psnr,53.16
t02,2,131072,mse,0.6305
t02,2,131072,psnr,50.13
t02,2,262144,mse,1.258
t02,2,262144,psnr,47.13
s01,1,100,mse,0.0001591
s01,1,100,psnr,86.12
s01,1,370000,mse,0.5305
s01,1,370000,psnr,50.88
s01,2,100,mse,0.0004038
s01,2,100,psnr,82.07
s01,2,370000,mse,1.383
s01,2,370000,psnr,46.72
s01,3,100,mse,0.001354
s01,3,100,psnr,76.81
s01,3,370000,mse,4.173
s01,3,370000,psnr,41.93
s01,4,100,mse,0.003947
s01,4,100,psnr,72.17
s01,4,370000,mse,13.25
s01,4,370000,psnr,36.91
s01,5,100,mse,0.01439
s01,5,100,psnr,66.55
s01,5,370000,mse,39.53
s01,5,370000,psnr,32.16
s01,6,100,mse,0.05094
s01,6,100,psnr,61.06
s01,6,370000,mse,145.3
s01,6,370000,psnr,26.51
s01,7,100,mse,0.1084
s01,7,100,psnr,57.78
s01,7,370000,mse,424.2
s01,7,370000,psnr,21.86
s01,8,100,mse,0.6026
s01,8,100,psnr,50.33
s01,8,370000,mse,1783.0
s01,8,370000,psnr,15.62
s01,1,16,mse,3.175e-05
s01,1,16,psnr,93.11
s01,1,32,mse,5.853e-05
s01,1,32,psnr,90.46
s01,1,64,mse,0.0001052
s01,1,64,psnr,87.91
s01,1,128,mse,0.0001964
s01,1,128,psnr,85.2
s01,1,256,mse,0.000377
s01,1,256,psnr,82.37
s01,1,512,mse,0.0007315
s01,1,512,psnr,79.49
s01,1,1024,mse,0.001476
s01,1,1024,psnr,76.44
s01,1,2048,mse,0.002957
s01,1,2048,psnr,73.42
s01,1,4096,mse,0.00584
s01,1,4096,psnr,70.47
s01,1,8192,mse,0.01167
s01,1,8192,psnr,67.46
s01,1,16384,mse,0.02339
s01,1,16384,psnr,64.44
s01,1,32768,mse,0.04698
s01,1,32768,psnr,61.41
s01,1,65536,mse,0.09391
s01,1,65536,psnr,58.4
s01,1,131072,mse,0.1877
s01,1,131072,psnr,55.4
s01,1,262144,mse,0.3754
s01,1,262144,psnr,52.39
s01,2,16,mse,9.127e-05
s01,2,16,psnr,88.53
s01,2,32,mse,0.0001617
s01,2,32,psnr,86.04
s01,2,64,mse,0.0002738
s01,2,64,psnr,83.76
s01,2,128,mse,0.000496
s01,2,128,psnr,81.18
s01,2,256,mse,0.000918
s01,2,256,psnr,78.5
s01,2,512,mse,0.001858
s01,2,512,psnr,75.44
s01,2,1024,mse,0.003735
s01,2,1024,psnr,72.41
s01,2,2048,mse,0.007675
s01,2,2048,psnr,69.28
s01,2,4096,mse,0.01527
s01,2,4096,psnr,66.29
s01,2,8192,mse,0.03093
s01,2,8192,psnr,63.23
s01,2,16384,mse,0.06158
s01,2,16384,psnr,60.24
s01,2,32768,mse,0.1237
s01,2,32768,psnr,57.21
s01,2,65536,mse,0.2466
s01,2,65536,psnr,54.21
s01,2,131072,mse,0.4907
s01,2,131072,psnr,51.22
s01,2,262144,mse,0.9802
s01,2,262144,psnr,48.22
s02,1,100,mse,0.0001584
s02,1,100,psnr,86.13
s02,1,370000,mse,0.4909
s02,1,370000,psnr,51.22
s02,2,100,mse,0.0004302
s02,2,100,psnr,81.79
s02,2,370000,mse,1.352
s02,2,370000,psnr,46.82
s02,3,100,mse,0.001185
s02,3,100,psnr,77.39
s02,3,370000,mse,4.183
s02,3,370000,psnr,41.92
s02,4,100,mse,0.003861
s02,4,100,psnr,72.26
s02,4,370000,mse,14.82
s02,4,370000,psnr,36.42
s02,5,100,mse,0.01478
